id,age,sex,job_id,marital,education_id,default,housing,loan,city
1,56,female,1,married,1,no,no,no,New York
2,57,female,2,married,2,unknown,no,no,Los Angeles
3,37,male,2,married,2,no,yes,no,Los Angeles
4,40,female,3,married,3,no,no,no,Chicago
5,56,male,2,married,2,no,no,yes,Los Angeles
6,45,female,2,married,4,unknown,no,no,New York
7,59,male,3,married,5,no,no,no,Phoenix
8,41,male,4,married,6,unknown,no,no,Chicago
9,24,female,5,single,5,no,yes,no,New York
10,25,female,2,single,2,no,yes,no,New York
11,41,male,4,married,6,unknown,no,no,Phoenix
12,25,female,2,single,2,no,yes,no,Los Angeles
13,29,female,4,single,2,no,no,yes,Los Angeles
14,57,male,1,divorced,1,no,yes,no,Chicago
15,35,male,4,married,3,no,yes,no,Houston
16,54,male,6,married,4,unknown,yes,yes,Houston
17,35,female,4,married,3,no,yes,no,Los Angeles
18,46,male,4,married,3,unknown,yes,yes,Houston
19,50,male,4,married,4,no,yes,yes,New York
20,39,female,7,single,4,unknown,no,no,Los Angeles
21,30,female,8,married,2,no,no,no,New York
22,55,female,4,married,1,unknown,yes,no,Chicago
23,55,female,6,single,2,no,yes,no,Phoenix
24,41,female,5,single,2,no,yes,no,Chicago
25,37,male,3,married,2,no,yes,no,Chicago
26,35,female,5,married,7,no,no,yes,New York
27,59,male,5,married,6,no,yes,no,New York
28,39,male,9,married,4,unknown,no,no,New York
29,54,female,5,single,7,unknown,no,no,Houston
30,55,male,10,married,7,unknown,unknown,unknown,New York
31,46,male,3,married,6,no,no,no,New York
32,59,female,5,married,6,no,yes,no,New York
33,49,male,4,married,6,no,no,no,Los Angeles
34,54,female,7,married,1,unknown,yes,no,New York
35,54,male,4,divorced,1,no,no,no,New York
36,55,male,10,married,1,unknown,yes,no,Los Angeles
37,34,male,2,married,2,no,no,no,New York
38,52,male,5,married,4,no,yes,no,New York
39,41,female,3,married,7,no,yes,no,Chicago
40,56,female,5,married,1,no,yes,no,Phoenix
41,58,male,7,unknown,7,no,yes,no,New York
42,32,male,11,married,2,no,yes,no,Chicago
43,38,male,3,single,5,no,no,no,Chicago
44,57,female,3,married,7,no,no,yes,Houston
45,44,female,3,married,7,unknown,yes,no,Chicago
46,42,male,5,single,5,unknown,no,no,Chicago
47,57,female,3,married,7,no,yes,yes,Los Angeles
48,40,female,4,married,4,no,no,yes,New York
49,35,female,3,married,7,no,yes,no,New York
50,45,male,4,married,4,no,yes,no,Los Angeles
51,54,male,3,married,2,no,no,no,Los Angeles
52,39,female,1,married,1,no,no,yes,Chicago
53,60,male,3,married,2,no,no,no,Phoenix
54,53,male,3,single,5,no,no,no,Houston
55,55,male,4,married,1,unknown,no,no,Houston
56,55,female,5,married,5,unknown,yes,no,Houston
57,50,female,7,married,7,unknown,no,yes,Chicago
58,45,female,2,married,2,unknown,yes,no,New York
59,55,female,8,married,5,unknown,yes,yes,Chicago
60,25,female,5,single,7,no,yes,no,New York
61,47,male,11,married,7,unknown,no,no,Chicago
62,51,female,4,married,4,no,yes,no,Houston
63,42,female,4,married,3,unknown,yes,no,Chicago
64,42,male,4,married,3,unknown,no,no,Los Angeles
65,48,male,3,married,2,no,no,no,Chicago
66,37,female,3,married,7,no,no,no,Los Angeles
67,44,female,4,single,4,no,yes,no,New York
68,33,female,3,married,6,no,yes,no,Houston
69,56,male,3,married,4,no,yes,no,New York
70,44,female,4,single,1,unknown,yes,yes,Los Angeles
71,41,male,7,married,3,no,no,no,Houston
72,44,female,7,divorced,7,no,yes,no,New York
73,47,male,3,married,7,unknown,yes,no,New York
74,57,female,10,married,6,unknown,no,no,Houston
75,37,male,3,married,7,unknown,yes,no,New York
76,41,female,4,divorced,1,unknown,yes,no,Houston
77,55,female,5,married,7,no,no,no,New York
78,33,female,2,married,2,unknown,yes,no,New York
79,55,male,7,married,6,unknown,yes,no,New York
80,42,male,4,married,4,unknown,no,no,Houston
81,50,male,4,married,1,unknown,yes,no,New York
82,51,male,4,married,1,unknown,unknown,unknown,New York
83,38,male,3,married,2,unknown,no,no,Chicago
84,49,female,11,married,7,unknown,yes,no,Chicago
85,38,female,5,single,7,no,no,yes,Los Angeles
86,31,male,3,divorced,2,no,no,no,New York
87,41,female,7,married,3,no,no,no,Houston
88,39,male,3,married,7,no,yes,yes,Los Angeles
89,49,male,5,married,4,no,no,no,New York
90,34,female,3,married,2,no,yes,no,Los Angeles
91,35,female,3,married,7,no,yes,no,New York
92,57,female,10,married,6,unknown,yes,no,New York
93,60,female,3,married,6,unknown,no,yes,Los Angeles
94,33,female,8,married,4,no,no,no,Los Angeles
95,42,female,4,married,3,no,no,yes,Phoenix
96,45,female,2,married,5,no,yes,no,Los Angeles
97,42,female,7,married,7,no,no,no,New York
98,53,female,3,divorced,7,unknown,no,no,New York
99,37,male,5,single,5,no,no,no,Chicago
100,44,female,4,married,3,no,no,no,Houston
101,54,male,2,married,6,no,yes,no,Chicago
102,49,female,4,married,1,no,no,no,Phoenix
103,54,female,2,married,6,no,no,no,Houston
