date,customer_id,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,sales_id
2022-01-02,1330,telephone,213,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,4
2022-01-02,1331,telephone,166,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,16
2022-01-02,1332,telephone,141,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,20
2022-01-02,1333,telephone,168,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,19
2022-01-02,1334,telephone,468,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,18
2022-01-02,1335,telephone,180,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,2
2022-01-02,1336,telephone,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,10
2022-01-02,1337,telephone,352,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,24
2022-01-02,1338,telephone,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,27
2022-01-02,1339,telephone,93,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,28
2022-01-02,1340,telephone,288,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,22
2022-01-02,1341,telephone,218,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,26
2022-01-02,1342,telephone,289,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,23
2022-01-02,1343,telephone,130,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,3
2022-01-02,1344,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,11
2022-01-02,1345,telephone,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,28
2022-01-02,1346,telephone,442,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,23
2022-01-02,1347,telephone,101,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,5
2022-01-02,1348,telephone,166,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,26
2022-01-02,1349,telephone,756,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes,30
2022-01-02,1350,telephone,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,4
2022-01-02,1351,telephone,189,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,25
2022-01-02,1352,telephone,108,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,20
2022-01-02,1353,telephone,178,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,20
2022-01-02,1354,telephone,238,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,20
2022-01-02,1355,telephone,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,30
2022-01-02,1356,telephone,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,8
2022-01-02,1357,telephone,14,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,27
2022-01-02,1358,telephone,250,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,3
2022-01-02,1359,telephone,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,12
2022-01-02,1360,telephone,269,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,1
2022-01-02,1361,telephone,491,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,19
2022-01-02,1362,telephone,44,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,22
2022-01-02,1363,telephone,26,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,6
2022-01-02,1364,telephone,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,23
2022-01-02,1365,telephone,293,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,16
2022-01-02,1366,telephone,989,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,12
2022-01-02,1367,telephone,147,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,10
2022-01-02,1368,telephone,1170,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,1
2022-01-02,1369,telephone,807,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,21
2022-01-02,1370,telephone,347,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,7
