"date","customer_id","contact","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","sales_id"
"2022-01-08","7001","telephone","27","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","17"
"2022-01-08","7002","telephone","544","4","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","28"
"2022-01-08","7003","telephone","346","6","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","24"
"2022-01-08","7004","telephone","134","6","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","5"
"2022-01-08","7005","telephone","135","2","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","2"
"2022-01-08","7006","telephone","633","6","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","2"
"2022-01-08","7007","telephone","48","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","30"
"2022-01-08","7008","telephone","359","2","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","10"
"2022-01-08","7009","telephone","105","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","8"
"2022-01-08","7010","telephone","746","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","yes","8"
"2022-01-08","7011","telephone","322","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","23"
"2022-01-08","7012","telephone","56","2","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","9"
"2022-01-08","7013","telephone","315","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","19"
"2022-01-08","7014","telephone","126","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","29"
"2022-01-08","7015","telephone","122","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","3"
"2022-01-08","7016","telephone","144","2","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","11"
"2022-01-08","7017","telephone","445","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","28"
"2022-01-08","7018","telephone","356","2","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","10"
"2022-01-08","7019","telephone","144","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","8"
"2022-01-08","7020","telephone","102","4","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","16"
"2022-01-08","7021","telephone","187","3","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","27"
"2022-01-08","7022","telephone","329","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","10"
"2022-01-08","7023","telephone","247","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","28"
"2022-01-08","7024","telephone","152","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","19"
"2022-01-08","7025","telephone","49","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","10"
"2022-01-08","7026","telephone","223","4","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","15"
"2022-01-08","7027","telephone","177","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","3"
"2022-01-08","7028","telephone","77","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","3"
"2022-01-08","7029","telephone","106","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","9"
"2022-01-08","7030","telephone","146","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","24"
"2022-01-08","7031","telephone","125","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","9"
"2022-01-08","7032","telephone","404","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","15"
"2022-01-08","7033","telephone","413","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","23"
"2022-01-08","7034","telephone","177","2","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","4"
"2022-01-08","7035","telephone","118","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","28"
"2022-01-08","7036","telephone","201","1","999","0","nonexistent","1.1","93.994","-36.4","4.86","5191.0","no","9"
